Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Total approvals,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
P0053,APPROVED,Not Applicable,2024-09-06T15:17:47.666000Z,2024-09-06T15:20:03.085000Z,2024-09-06T15:48:46.547000Z,2024-09-06T15:22:16.116919Z,136.0,321,"French, English",40,Female,White,Canada,Canada,Canada,French,No,Full-Time
P0057,APPROVED,Not Applicable,2024-09-06T15:17:56.551000Z,2024-09-06T15:21:03.700000Z,2024-09-06T15:48:46.805000Z,2024-09-06T15:22:36.422382Z,188.0,13,English,29,Female,Asian,Canada,Canada,Canada,English,Yes,DATA_EXPIRED
P0082,APPROVED,Not Applicable,2024-09-06T15:18:06.014000Z,2024-09-06T15:24:36.137000Z,2024-09-06T15:48:47.051000Z,2024-09-06T15:24:36.840990Z,391.0,308,English,58,Female,White,Canada,Canada,Canada,English,No,Part-Time
P0059,APPROVED,Not Applicable,2024-09-06T15:18:23.430000Z,2024-09-06T15:21:23.018000Z,2024-09-06T15:48:47.325000Z,2024-09-06T15:22:40.076795Z,180.0,41,"English, Ukrainian",38,Female,White,Ukraine,Canada,Ukraine,Ukrainian,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
P0065,APPROVED,Not Applicable,2024-09-06T15:18:42.990000Z,2024-09-06T15:22:05.827000Z,2024-09-06T15:48:47.899000Z,2024-09-06T15:22:44.719187Z,203.0,44,English,35,Female,White,Canada,Canada,Canada,English,No,Full-Time
P0076,APPROVED,Not Applicable,2024-09-06T15:18:49.570000Z,2024-09-06T15:23:31.804000Z,2024-09-06T15:48:48.213000Z,2024-09-06T15:23:32.499186Z,283.0,33,English,42,Male,Black,Nigeria,Canada,Canada,English,No,Unemployed (and job seeking)
P0068,APPROVED,Not Applicable,2024-09-06T15:19:23.856000Z,2024-09-06T15:22:25.002000Z,2024-09-06T15:48:48.480000Z,2024-09-06T15:22:47.464436Z,182.0,28,English,23,Female,White,Canada,Canada,Canada,English,No,Full-Time
P0067,APPROVED,Not Applicable,2024-09-06T15:19:17.202000Z,2024-09-06T15:22:16.500000Z,2024-09-06T15:48:48.759000Z,2024-09-06T15:22:46.061199Z,180.0,133,English,53,Male,White,Canada,Canada,Canada,English,No,Full-Time
P0062,APPROVED,Not Applicable,2024-09-06T15:19:27.384000Z,2024-09-06T15:21:26.567000Z,2024-09-06T15:48:49.080000Z,2024-09-06T15:22:40.468590Z,120.0,125,English,38,Male,Mixed,Canada,Canada,Canada,English,No,Other
P0064,APPROVED,Not Applicable,2024-09-06T15:19:32.290000Z,2024-09-06T15:21:59.077000Z,2024-09-06T15:48:49.429000Z,2024-09-06T15:22:44.180685Z,147.0,145,English,36,Female,White,Canada,Canada,Canada,English,No,Part-Time
P0081,APPROVED,Not Applicable,2024-09-06T15:19:52.247000Z,2024-09-06T15:24:44.964000Z,2024-09-06T15:48:49.743000Z,2024-09-06T15:24:45.509159Z,293.0,18,English,19,Male,White,Canada,Canada,Canada,English,Yes,Unemployed (and job seeking)
P0066,APPROVED,Not Applicable,2024-09-06T15:20:24.697000Z,2024-09-06T15:22:10.040000Z,2024-09-06T15:48:50.570000Z,2024-09-06T15:22:45.066848Z,106.0,634,English,42,Male,Mixed,Canada,Canada,Canada,English,DATA_EXPIRED,DATA_EXPIRED
P0079,APPROVED,Not Applicable,2024-09-06T15:20:05.739000Z,2024-09-06T15:23:32.643000Z,2024-09-06T15:48:50.843000Z,2024-09-06T15:23:33.578678Z,207.0,281,"French, English",39,Male,White,Canada,Canada,Canada,French,Yes,Full-Time
P0071,APPROVED,Not Applicable,2024-09-06T15:20:13.361000Z,2024-09-06T15:23:15.201000Z,2024-09-06T15:48:51.086000Z,2024-09-06T15:23:15.867811Z,182.0,1063,English,37,Female,White,Canada,Canada,Canada,English,No,Part-Time
P0078,APPROVED,Not Applicable,2024-09-06T15:20:22.128000Z,2024-09-06T15:23:51.283000Z,2024-09-06T15:48:51.354000Z,2024-09-06T15:23:51.906243Z,210.0,43,English,32,Female,White,Canada,Canada,Canada,English,No,Full-Time
