Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Total approvals,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
P0051,APPROVED,Not Applicable,2025-10-04T20:28:40.310000Z,2025-10-04T20:30:48.515000Z,2025-10-05T14:16:02.890000Z,2025-10-04T20:30:55.323815Z,129.0,1608,"German, English, Spanish, Polish",36,Male,White,Poland,Poland,Poland,Polish,DATA_EXPIRED,DATA_EXPIRED
P0041,APPROVED,Not Applicable,2025-10-04T20:28:37.644000Z,2025-10-04T20:30:39.861000Z,2025-10-05T14:16:03.146000Z,2025-10-04T20:30:41.395502Z,123.0,764,"English, Portuguese, Spanish, French",25,Male,White,United Kingdom,Portugal,Portugal,Portuguese,No,Full-Time
P0040,APPROVED,Not Applicable,2025-10-04T20:28:44.893000Z,2025-10-04T20:30:28.885000Z,2025-10-05T14:16:03.425000Z,2025-10-04T20:30:29.514929Z,104.0,717,"Afrikaans, Albanian, Bulgarian, Croatian, Dutch, English, Hebrew, German, Japanese, Hungarian, Italian",30,Female,Black,South Africa,South Africa,South Africa,Other,Yes,Full-Time
P0078,APPROVED,Not Applicable,2025-10-04T20:29:49.012000Z,2025-10-04T20:31:32.073000Z,2025-10-05T14:16:03.722000Z,2025-10-04T20:31:33.092328Z,104.0,120,"Afrikaans, Dutch, English, French, German",76,Male,White,Canada,South Africa,South Africa,English,No,Full-Time
P0080,APPROVED,Not Applicable,2025-10-04T20:29:36.563000Z,2025-10-04T20:31:37.594000Z,2025-10-05T14:16:04.123000Z,2025-10-04T20:31:38.010950Z,122.0,1793,English,23,Male,Black,South Africa,South Africa,South Africa,English,Yes,Part-Time
P0090,APPROVED,Not Applicable,2025-10-04T20:29:32.882000Z,2025-10-04T20:32:46.129000Z,2025-10-05T14:16:04.385000Z,2025-10-04T20:32:47.841303Z,194.0,216,"Polish, English",25,Male,White,Poland,Poland,Poland,Polish,DATA_EXPIRED,DATA_EXPIRED
P0072,APPROVED,Not Applicable,2025-10-04T20:29:11.577000Z,2025-10-04T20:31:16.501000Z,2025-10-05T14:16:04.641000Z,2025-10-04T20:31:18.719655Z,125.0,2249,"English, Greek",35,Male,White,Greece,Greece,Greece,Greek,No,Full-Time
P0059,APPROVED,Not Applicable,2025-10-04T20:28:54.895000Z,2025-10-04T20:30:59Z,2025-10-05T14:16:04.876000Z,2025-10-04T20:31:01.055949Z,125.0,1665,English,46,Female,Black,Nigeria,United Kingdom,Nigeria,English,Yes,Full-Time
P0058,APPROVED,Not Applicable,2025-10-04T20:28:42.750000Z,2025-10-04T20:31:06.177000Z,2025-10-05T14:16:05.122000Z,2025-10-04T20:31:08.000848Z,144.0,500,English,54,Female,Black,South Africa,South Africa,South Africa,English,No,Full-Time
P0047,APPROVED,Not Applicable,2025-10-04T20:28:45.586000Z,2025-10-04T20:30:32.558000Z,2025-10-05T14:16:05.389000Z,2025-10-04T20:30:36.737595Z,107.0,1258,"English, Greek",27,Male,White,Greece,Greece,Greece,Greek,No,Part-Time
